TRADE_DATE,SECTOR,TOTAL_STOCKS,AVG_DAILY_RETURN,BEST_PERFORMER,WORST_PERFORMER,SECTOR_VOLUME
2026-01-20,Communication Services,1,,,,15169600
2026-01-20,Consumer Cyclical,2,,,,110925200
2026-01-20,Financial Services,2,,,,21180500
2026-01-20,Healthcare,1,,,,14057100
2026-01-20,Technology,2,,,,249475300
2026-01-21,Communication Services,1,1.4632898971923545,META,META,14494700
2026-01-21,Consumer Cyclical,2,1.5208858533741574,TSLA,AMZN,115400100
2026-01-21,Financial Services,2,-0.1984741369540452,V,JPM,19244700
2026-01-21,Healthcare,1,-0.09166041926460344,JNJ,JNJ,14762900
2026-01-21,Technology,2,0.32897476302963824,NVDA,MSFT,238361500
2026-01-22,Communication Services,1,5.656157280629773,META,META,21394700
2026-01-22,Consumer Cyclical,2,2.731729127333396,TSLA,AMZN,103460000
2026-01-22,Financial Services,2,0.4292174912852604,JPM,V,17474500
2026-01-22,Healthcare,1,0.22017843145859706,JNJ,JNJ,13160000
2026-01-22,Technology,2,1.2060464985448038,MSFT,NVDA,164986000
2026-01-23,Communication Services,1,1.7185746180531667,META,META,22797700
2026-01-23,Consumer Cyclical,2,0.9950423718144531,AMZN,TSLA,90549900
2026-01-23,Financial Services,2,-1.0008010080220298,V,JPM,16775800
2026-01-23,Healthcare,1,0.7551804910984813,JNJ,JNJ,6950600
2026-01-23,Technology,2,2.406924477755676,MSFT,NVDA,180748300
2026-01-26,Communication Services,1,2.0644810529370368,META,META,16327400
2026-01-26,Consumer Cyclical,2,-1.697931291291848,AMZN,TSLA,82222900
2026-01-26,Financial Services,2,0.9116696095301106,JPM,V,19292900
2026-01-26,Healthcare,1,0.6132488903691283,JNJ,JNJ,6856700
2026-01-26,Technology,2,0.14493135637540155,MSFT,NVDA,154090800
2026-01-27,Communication Services,1,0.09072303005116401,META,META,13297400
2026-01-27,Consumer Cyclical,2,0.8187803610353206,AMZN,TSLA,75762300
2026-01-27,Financial Services,2,-0.6128878901688435,JPM,V,17893200
2026-01-27,Healthcare,1,1.3318871619844872,JNJ,JNJ,8154100
2026-01-27,Technology,2,1.6447780817539925,MSFT,NVDA,172925500
2026-01-28,Communication Services,1,-0.6300415202694736,META,META,25709600
2026-01-28,Consumer Cyclical,2,-0.27628170113126926,TSLA,AMZN,95740100
2026-01-28,Financial Services,2,0.3409900677252376,V,JPM,17662700
2026-01-28,Healthcare,1,1.4614145177409597,JNJ,JNJ,9026500
2026-01-28,Technology,2,0.9049164348961563,NVDA,MSFT,185428100
2026-01-29,Communication Services,1,10.404800012266723,META,META,59852900
2026-01-29,Consumer Cyclical,2,-1.990058135558583,AMZN,TSLA,128915700
2026-01-29,Financial Services,2,1.6763046713364522,JPM,V,21794200
2026-01-29,Healthcare,1,-0.1888318690783576,JNJ,JNJ,9645300
2026-01-29,Technology,2,-4.738118498574661,NVDA,MSFT,300619700
2026-01-30,Communication Services,1,-2.954043373476446,META,META,23744600
2026-01-30,Consumer Cyclical,2,1.1598009315978253,TSLA,AMZN,129211100
2026-01-30,Financial Services,2,-1.5888951108166516,JPM,V,23152300
2026-01-30,Healthcare,1,-0.01759570914433765,JNJ,JNJ,11045500
2026-01-30,Technology,2,-0.7286614833359828,NVDA,MSFT,238056300
2026-02-02,Communication Services,1,-1.408238221279658,META,META,14365200
2026-02-02,Consumer Cyclical,2,-0.23431690116509307,AMZN,TSLA,96285600
2026-02-02,Financial Services,2,2.2336769199457,V,JPM,18341800
2026-02-02,Healthcare,1,1.54015401540154,JNJ,JNJ,8187500
2026-02-02,Technology,2,-2.248154803254285,MSFT,NVDA,208014000
2026-02-03,Communication Services,1,-2.082354651933877,META,META,13760700
2026-02-03,Consumer Cyclical,2,-0.8753737039429947,TSLA,AMZN,110717800
2026-02-03,Financial Services,2,0.3534062106223741,JPM,V,21769200
2026-02-03,Healthcare,1,1.018420846593987,JNJ,JNJ,9346600
2026-02-03,Technology,2,-2.8557410196618505,NVDA,MSFT,265443700
2026-02-04,Communication Services,1,-3.2832183854088126,META,META,16882800
2026-02-04,Consumer Cyclical,2,-3.069685232348779,AMZN,TSLA,125906800
2026-02-04,Financial Services,2,0.5393574069314191,JPM,V,18321100
2026-02-04,Healthcare,1,0.5877284776127845,JNJ,JNJ,8641400
2026-02-04,Technology,2,-1.3427642904676005,MSFT,NVDA,252026500
2026-02-05,Communication Services,1,0.18236920672816379,META,META,17131800
2026-02-05,Consumer Cyclical,2,-3.2941152774285603,TSLA,AMZN,176329000
2026-02-05,Financial Services,2,-1.24475818873804,V,JPM,17727000
2026-02-05,Healthcare,1,1.415956006373979,JNJ,JNJ,10267500
2026-02-05,Technology,2,-3.1401910367983206,NVDA,MSFT,272602100
2026-02-06,Communication Services,1,-1.3055609007823803,META,META,18159300
2026-02-06,Consumer Cyclical,2,-1.0276989826760736,TSLA,AMZN,241888000
2026-02-06,Financial Services,2,2.345365074963011,JPM,V,25596200
2026-02-06,Healthcare,1,0.9251912482221127,JNJ,JNJ,8274000
2026-02-06,Technology,2,4.884649350637547,NVDA,MSFT,284861500
2026-02-09,Communication Services,1,2.382600339695245,META,META,14837500
2026-02-09,Consumer Cyclical,2,0.3749008077448873,TSLA,AMZN,145662700
2026-02-09,Financial Services,2,-0.9512813415658403,JPM,V,19990900
2026-02-09,Healthcare,1,-0.5625259688383477,JNJ,JNJ,9378500
2026-02-09,Technology,2,2.8016540140285335,MSFT,NVDA,241867900
2026-02-10,Communication Services,1,-0.9598063083183093,META,META,10455800
2026-02-10,Consumer Cyclical,2,0.5236996642963693,TSLA,AMZN,131625200
2026-02-10,Financial Services,2,-0.091305786444415,V,JPM,15704000
2026-02-10,Healthcare,1,-0.12151914468425515,JNJ,JNJ,6723300
2026-02-10,Technology,2,-0.43454945346582224,MSFT,NVDA,181622700
2026-02-11,Communication Services,1,-0.30265510949237223,META,META,14323800
2026-02-11,Consumer Cyclical,2,-0.33596585686754143,TSLA,AMZN,122907500
2026-02-11,Financial Services,2,-1.0089010332443618,V,JPM,16967800
2026-02-11,Healthcare,1,1.053070880034232,JNJ,JNJ,6803900
2026-02-11,Technology,2,-0.6763290507081532,NVDA,MSFT,186683700
2026-02-12,Communication Services,1,-2.823431607154446,META,META,14960100
2026-02-12,Consumer Cyclical,2,-2.405191955792934,AMZN,TSLA,145908800
2026-02-12,Financial Services,2,-2.0843089811649693,V,JPM,22836000
2026-02-12,Healthcare,1,1.5320113061760339,JNJ,JNJ,10254300
2026-02-12,Technology,2,-1.1310380426550397,MSFT,NVDA,230734900
2026-02-13,Communication Services,1,-1.5450636439982504,META,META,12336400
2026-02-13,Consumer Cyclical,2,-0.15855253997196161,TSLA,AMZN,117755700
2026-02-13,Financial Services,2,-1.5726511080821062,JPM,V,20768400
2026-02-13,Healthcare,1,-0.4498082558939138,JNJ,JNJ,13268500
2026-02-13,Technology,2,-1.1693347966536927,MSFT,NVDA,195979600
2026-02-17,Communication Services,1,-0.07503344784083026,META,META,12674700
2026-02-17,Consumer Cyclical,2,-0.2220943889393573,AMZN,TSLA,129558000
2026-02-17,Financial Services,2,1.6197422089923852,V,JPM,17488500
2026-02-17,Healthcare,1,-0.049289430557278316,JNJ,JNJ,12703000
2026-02-17,Technology,2,0.03510929066820889,NVDA,MSFT,194355700
2026-02-18,Communication Services,1,-0.036757240006732785,META,META,9962039
2026-02-18,Consumer Cyclical,2,1.1147223872635723,AMZN,TSLA,68270751
2026-02-18,Financial Services,2,0.8449476769557083,JPM,V,7829772
2026-02-18,Healthcare,1,0.3575371350186165,JNJ,JNJ,4414250
2026-02-18,Technology,2,1.324244473872438,NVDA,MSFT,119362517
